          price                                    type                                            address  ... postcode number_bedrooms                search_date
1031   285000.0             4 bedroom bungalow for sale                           Fairview Road, Dane Bank  ...      NaN               4 2019-03-28 18:22:25.761924
1032   285000.0  3 bedroom semi-detached house for sale    Plot 3 Tudor Green Development, Manchester, M22  ...      M22               3 2019-03-28 18:22:25.761924
1033   285000.0                 2 bedroom flat for sale               Westleigh, Clifton Road, Heaton Moor  ...      NaN               2 2019-03-28 18:22:25.761924
1034   285000.0            2 bedroom apartment for sale              Sovereign Point, Salford Quays, , M50  ...      M50               2 2019-03-28 18:22:25.761924
1035   285000.0  4 bedroom semi-detached house for sale     Bronington Close, Northenden , Manchester, M22  ...      M22               4 2019-03-28 18:22:25.761924
1036   285000.0       3 bedroom detached house for sale  Altrincham Road, Manchester, Greater Mancheste...  ...      M22               3 2019-03-28 18:22:25.761924
1037   285000.0  3 bedroom semi-detached house for sale                       New Lane, Eccles, Manchester  ...      NaN               3 2019-03-28 18:22:25.761924
1038   285000.0                 2 bedroom flat for sale  The Lock Building, 41 Whitworth Street West, M...  ...       M1               2 2019-03-28 18:22:25.761924
1039   285000.0       5 bedroom terraced house for sale    Bedford Ave, Whalley Range, Manchester. M16 8JS  ...      M16               5 2019-03-28 18:22:25.761924
1040   285000.0  3 bedroom semi-detached house for sale                Maitland Avenue, Chorlton, Chorlton  ...      NaN               3 2019-03-28 18:22:25.761924
1041   285000.0       3 bedroom detached house for sale                  Bronington Close, Manchester, M22  ...      M22               3 2019-03-28 18:22:25.761924
1042   285000.0             4 bedroom bungalow for sale                              Windmill Lane, Denton  ...      NaN               4 2019-03-28 18:22:25.761924
1043        NaN  5 bedroom semi-detached house for sale                      Burnage Lane, Manchester, M19  ...      M19               5 2019-03-28 18:22:25.761924
1044   285000.0       3 bedroom terraced house for sale          Cyprus Street, Stretford, Manchester, M32  ...      M32               3 2019-03-28 18:22:25.761924
1045   285000.0  3 bedroom semi-detached house for sale              Sheepfoot Lane, Prestwich, Manchester  ...      NaN               3 2019-03-28 18:22:25.761924
1046   285000.0            2 bedroom apartment for sale         Bauhaus, 2 Little John Street, Castlefield  ...      NaN               2 2019-03-28 18:22:25.761924
1047   285000.0       3 bedroom terraced house for sale  Didsbury Road, Heaton Norris, Stockport, Cheshire  ...      NaN               3 2019-03-28 18:22:25.761924
1048   285000.0       4 bedroom terraced house for sale                   Great Clowes Street, Salford, M7  ...       M7               4 2019-03-28 18:22:25.761924
1049   285000.0    3 bedroom detached bungalow for sale                Plot 1 Tudor Green, Manchester, M22  ...      M22               3 2019-03-28 18:22:25.761924
